event,lepton_index,pid,pT,eta,phi
0,0,|,|,|,|
0,1,|,|,|,|
0,2,|,|,|,|
0,3,|,|,|,|
0,4,|,|,|,|
0,5,|,|,|,|
0,6,|,|,|,|
0,7,|,|,|,|
0,8,|,|,|,|
0,9,|,|,|,|
0,10,|,|,|,|
0,11,|,|,|,|
0,12,|,|,|,|
0,13,|,|,|,|
0,14,|,|,|,|
0,15,11,10.117,-0.895,-1.958
0,16,-11,9.262,0.647,-0.105
0,17,11,15.219,-1.905,-2.213
0,18,-11,38.105,0.538,1.893
0,19,11,0.024,-6.028,3.049
0,20,-11,0.102,-6.026,2.960
1,0,13,28.869,-3.096,-3.080
1,1,-13,29.126,-1.058,-0.922
1,2,-13,10.022,-1.026,1.935
1,3,13,14.929,-1.851,-0.113
1,4,11,0.076,-4.128,-1.657
1,5,-11,0.068,-4.133,-1.665
1,6,11,0.024,3.701,2.075
1,7,-11,0.113,3.128,1.941
1,8,11,0.005,1.811,2.002
1,9,-11,0.025,1.887,1.580
1,10,11,0.012,-6.717,-2.900
1,11,-11,0.040,-5.988,1.045
2,0,11,13.817,0.343,-0.906
2,1,-11,3.077,-1.997,-0.737
2,2,11,42.809,0.748,0.056
2,3,-11,46.495,0.848,2.653
2,4,-13,0.238,2.497,2.273
2,5,11,0.102,-4.952,1.900
2,6,-11,0.238,-4.950,1.883
3,0,11,53.846,-4.364,-1.419
3,1,-11,34.018,-3.678,1.558
3,2,13,15.013,-3.563,1.943
3,3,-13,16.928,-4.106,0.024
3,4,-11,0.238,-0.772,0.594
4,0,-13,26.259,0.168,2.532
4,1,13,58.454,-1.029,0.124
4,2,13,22.626,-0.800,2.576
4,3,-13,9.854,-0.931,-0.188
4,4,13,0.384,0.700,0.411
4,5,11,0.113,-4.746,2.004
4,6,-11,0.109,-5.217,2.165
5,0,11,7.107,1.915,-2.022
5,1,-11,13.265,-2.529,2.866
5,2,11,7.166,-0.355,-1.736
5,3,-11,26.078,-0.904,0.777
6,0,13,56.372,1.911,-2.447
6,1,-13,35.384,2.557,0.873
6,2,13,15.805,1.599,-1.830
6,3,-13,7.375,0.759,-0.009
6,4,-13,0.513,-3.848,2.512
6,5,-11,1.957,-2.481,0.984
6,6,11,0.099,-2.022,0.960
6,7,-11,0.125,-2.295,0.725
7,0,11,9.305,-0.212,-0.412
7,1,-11,47.517,-0.663,-1.148
7,2,11,48.146,-1.405,-1.545
7,3,-11,128.771,-1.463,-0.660
7,4,13,0.242,-4.069,-2.442
8,0,13,53.351,-2.917,-0.356
8,1,-13,35.464,-2.550,2.708
8,2,13,9.637,-3.309,-1.168
8,3,-13,21.632,-2.328,2.546
8,4,11,0.125,2.281,-1.004
8,5,-11,0.152,2.271,-1.052
9,0,13,33.688,3.496,-1.270
9,1,-13,43.913,2.086,1.327
9,2,11,4.613,0.998,-2.069
9,3,-11,17.083,1.948,0.517
9,4,11,0.229,2.271,0.116
9,5,-11,0.015,2.353,0.477
9,6,11,0.130,0.709,1.774
9,7,-11,0.257,0.742,1.632
10,0,13,26.500,0.792,2.839
10,1,-13,35.524,2.466,-0.590
10,2,11,2.133,-0.318,-1.305
10,3,-11,30.120,1.681,-2.735
10,4,-13,0.553,5.949,2.391
11,0,13,6.682,0.226,0.059
11,1,-13,16.008,-0.962,-0.897
11,2,13,55.543,-0.957,1.336
11,3,-13,30.726,-2.128,2.998
11,4,11,0.544,-6.177,-3.044
11,5,-11,0.060,-6.168,-3.052
11,6,11,0.711,4.031,0.269
12,0,11,35.944,0.429,-3.107
12,1,-11,48.141,-0.198,-0.380
12,2,-11,16.003,0.581,-2.480
12,3,11,17.394,-0.733,-0.365
13,0,11,21.032,-1.148,0.261
13,1,-11,53.779,-0.517,2.669
13,2,-11,3.655,-0.775,-3.116
13,3,11,26.716,-0.538,-0.304
13,4,11,0.483,3.299,-2.530
13,5,-11,0.200,3.410,-2.591
13,6,11,0.010,4.083,-1.302
13,7,-11,0.153,4.068,-1.476
14,0,11,10.189,1.211,3.077
14,1,-11,14.451,2.360,1.761
14,2,11,34.047,1.203,-2.394
14,3,-11,33.286,2.994,-0.007
14,4,11,0.247,-6.822,-2.104
14,5,-11,0.151,-6.816,-2.094
14,6,11,0.056,-7.704,2.587
14,7,-11,0.005,-7.755,2.328
15,0,-13,32.221,-0.834,0.956
15,1,13,19.313,-0.715,1.975
